kabupaten_kota;kecamatan;year_2018;year_2019;year_2020;year_2021;year_2022
Lumajang;Tempursari ;4.145;4.221;4.479;4.569;4.371
Lumajang;Pronojiwo;6.517;6.609;7.014;7.155;6.844
Lumajang;Candipuro;4.003;4.082;4.332;4.420;4.228
Lumajang;Pasirian;8.635;8.738;9.274;9.461;9.050
Lumajang;Tempeh;5.502;5.602;5.945;6.065;5.802
Lumajang;Lumajang;459;547;581;593;567
Lumajang;Sumbersuko;2.377;2.476;2.665;2.719;2.600
Lumajang;Tekung;1.377;1.466;1.555;1.586;1.517
Lumajang;Kunir;4.326;4.422;4.692;4.786;4.578
Lumajang;Yosowilangun;3.801;3.894;4.133;4.217;4.033
Lumajang;Jatiroto;4.281;4.371;4.638;1.076;4.526
Lumajang;Rowokangkung;902;996;1.056;4.732;1.029
Lumajang;Randuagung;4.202;4.309;4.573;4.665;4.462
Lumajang;Sukodono;1.517;1.609;1.708;1.743;1.667
Lumajang;Padang;2.436;2.645;2.808;2.864;2.739
Lumajang;Senduro;23.788;16.724;17.749;;40.597
Lumajang;Pasrujambe;16.577;24.333;25.825;;17.449
Lumajang;Gucialit;4.902;5.270;5.593;;3.390
Lumajang;Klakah;3.602;3.701;5.923;6.043;3.835
Lumajang;Kedungjajang;5.478;5.580;3.929;4.009;5.781
Lumajang;Ranuyoso;2.830;2.938;3.119;3.183;3.044
Probolinggo;Sukapura;3.370;36;686;780;58
Probolinggo;Sumber;3.806;227;290;360;352
Probolinggo;Kuripan;3.315;3.139;1.805;1.902;1.699
Probolinggo;Bantaran;2.556;2.637;2.030;2.033;2.036
Probolinggo;Leces;381;4.080;3.609;3.653;3.628
Probolinggo;Tegalsiwalan;1.782;52;284;798;1.093
Probolinggo;Banyuanyar;1.808;989;1.078;1.118;1.050
Probolinggo;Tiris;4.197;4.230;4.514;4.609;4.479
Probolinggo;Krucil;690;1.107;1.455;1.640;1.785
Probolinggo;Gading;620;861;1.985;2.078;2.078
Probolinggo;Pakuniran;4.372;3.267;3.803;3.803;3.803
Probolinggo;kotaanyar;577;577;680;995;1.231
Probolinggo;Paiton;286;1.554;3.540;1.788;2.694
Probolinggo;Besuk;656;742;763;801;653
Probolinggo;Kraksaan;2.372;3.144;3.048;2.969;1.865
Probolinggo;Krejengan;776;853;791;1.120;952
Probolinggo;Pajarakan;1.943;929;621;713;684
Probolinggo;Maron;942;1.573;1.811;1.829;1.679
Probolinggo;Gending;627;643;650;652;790
Probolinggo;Dringu;3.137;3.291;3.263;3.420;3.463
Probolinggo;Wonomerto;5.632;972;3.128;3.509;1.821
Probolinggo;Lumbang;4.170;5.206;13.887;4.744;4.750
Probolinggo;Tongas;4.456;2.075;4.878;4.952;3.898
Probolinggo;Sumberasih;1.379;1.376;1.259;1.233;1.242
Probolinggo;Total;53.850;43.560;59.858;51.499;47.783