provinsi;kabupaten_kota;kecamatan;year_2018;year_2019;year_2020;year_2021;year_2022
Jawa Timur;Lumajang;Tempursari ;4145;4221;4479;4569;4371
Jawa Timur;Lumajang;Pronojiwo;6517;6609;7014;7155;6844
Jawa Timur;Lumajang;Candipuro;4003;4082;4332;4420;4228
Jawa Timur;Lumajang;Pasirian;8635;8738;9274;9461;9050
Jawa Timur;Lumajang;Tempeh;5502;5602;5945;6065;5802
Jawa Timur;Lumajang;Lumajang;459;547;581;593;567
Jawa Timur;Lumajang;Sumbersuko;2377;2476;2665;2719;2600
Jawa Timur;Lumajang;Tekung;1377;1466;1555;1586;1517
Jawa Timur;Lumajang;Kunir;4326;4422;4692;4786;4578
Jawa Timur;Lumajang;Yosowilangun;3801;3894;4133;4217;4033
Jawa Timur;Lumajang;Jatiroto;4281;4371;4638;1076;4526
Jawa Timur;Lumajang;Rowokangkung;902;996;1056;4732;1029
Jawa Timur;Lumajang;Randuagung;4202;4309;4573;4665;4462
Jawa Timur;Lumajang;Sukodono;1517;1609;1708;1743;1667
Jawa Timur;Lumajang;Padang;2436;2645;2808;2864;2739
Jawa Timur;Lumajang;Senduro;23788;16724;17749;;40597
Jawa Timur;Lumajang;Pasrujambe;16577;24333;25825;;17449
Jawa Timur;Lumajang;Gucialit;4902;5270;5593;;3390
Jawa Timur;Lumajang;Klakah;3602;3701;5923;6043;3835
Jawa Timur;Lumajang;Kedungjajang;5478;5580;3929;4009;5781
Jawa Timur;Lumajang;Ranuyoso;2830;2938;3119;3183;3044
Jawa Timur;Probolinggo;Sukapura;3370;36;686;780;58
Jawa Timur;Probolinggo;Sumber;3806;227;290;360;352
Jawa Timur;Probolinggo;Kuripan;3315;3139;1805;1902;1699
Jawa Timur;Probolinggo;Bantaran;2556;2637;2030;2033;2036
Jawa Timur;Probolinggo;Leces;381;4080;3609;3653;3628
Jawa Timur;Probolinggo;Tegalsiwalan;1782;52;284;798;1093
Jawa Timur;Probolinggo;Banyuanyar;1808;989;1078;1118;1050
Jawa Timur;Probolinggo;Tiris;4197;4230;4514;4609;4479
Jawa Timur;Probolinggo;Krucil;690;1107;1455;1640;1785
Jawa Timur;Probolinggo;Gading;620;861;1985;2078;2078
Jawa Timur;Probolinggo;Pakuniran;4372;3267;3803;3803;3803
Jawa Timur;Probolinggo;kotaanyar;577;577;680;995;1231
Jawa Timur;Probolinggo;Paiton;286;1554;3540;1788;2694
Jawa Timur;Probolinggo;Besuk;656;742;763;801;653
Jawa Timur;Probolinggo;Kraksaan;2372;3144;3048;2969;1865
Jawa Timur;Probolinggo;Krejengan;776;853;791;1120;952
Jawa Timur;Probolinggo;Pajarakan;1943;929;621;713;684
Jawa Timur;Probolinggo;Maron;942;1573;1811;1829;1679
Jawa Timur;Probolinggo;Gending;627;643;650;652;790
Jawa Timur;Probolinggo;Dringu;3137;3291;3263;3420;3463
Jawa Timur;Probolinggo;Wonomerto;5632;972;3128;3509;1821
Jawa Timur;Probolinggo;Lumbang;4170;5206;13887;4744;4750
Jawa Timur;Probolinggo;Tongas;4456;2075;4878;4952;3898
Jawa Timur;Probolinggo;Sumberasih;1379;1376;1259;1233;1242
Jawa Timur;Probolinggo;Total;53850;43560;59858;51499;47783